ID_CARACTERISTICA,DS_CARACTERISTICA,QL_MEMO_CARACTERISTICA,QL_MAGNITUD_CARACTERISTICA,ID_TP_VAL_CARAC,ID_SN_DUPLICAR_RECURS,ID_DATA_BAIXA_TCARAC,ID_SN_BAIXA_TCARAC
-1,Sense assignar,-1,-1,-1,-1,,-1
2,núm.,Codi divisió,Codi,E,N,,N
5,Projector cossos,Projec_cosos,S/N,B,N,,N
7,Accés per a minusvàlids,Ac_ minusvàl.,S/N,B,N,,N
1067,Porta secundària,Porta_secu,Entero,C,N,,N
1079,Identificador per a la consulta de l'ocupació a través de ws,ID_OCUPACION,-,C,N,,N
1078,Perfils associats a la família de recursos,ROLES_ASOCIADOS,-,L,N,,N
8,núm.,Codi campus,Codi,E,N,,N
1000,Edifici ,s_edificio,edificio ,C,N,2006-09-12,S
1001,Metres ,s_metros,metres ,E,N,2006-09-12,N
1002,Centre de cost ,s_ccoste,Codi c. cost,C,N,2006-09-12,S
1003,Unitat de cost ,s_ucoste,Codi u. cost,C,N,2006-09-12,S
1004,"Descripció del centre de cost, unitat de cost",s_cpresup,edificio sidec,C,N,2006-10-02,S
1005,Càmara vídeo,C_vídeo,s/n,B,N,,N
1006,Canó projecció fix,Canó,s/n,B,N,,N
1007,Doble platina,D_ platina,s/n,B,N,,N
1008,DVD,DVD,s/n,B,N,,N
1009,Aire condicionat,A_condic.,s/n,B,N,,N
1010,Cabines d'interpretació,Cabines,s/n,B,N,,N
1011,Càmara digital,C_ digital,s/n,B,N,,N
1012,Càmera de control,C_control,s/n,B,N,,N
1013,Capturadora  vídeo,Capturadora,s/n,B,N,,N
1014,Connexió xarxa,C_xarxa,s/n,B,N,,N
1016,Escaner diapositives,Escaner,s/n,B,N,,N
1017,Escaner pla,E_pla,s/n,B,N,,N
1018,Faristol,Faristol,s/n,B,N,,N
1019,Filmadora diapositives,Fil_diapos,s/n,B,N,,N
1020,Filmadora VHS,Fil_VHS,s/n,B,N,,N
1021,Interconnexió de dues aules,Interconnexió,s/n,B,N,,N
1022,Megafonia,Megafonia,s/n,B,N,,N
1023,Micròfon corbata,Micròfon,s/n,B,N,,N
1024,Minidisc,Minidisc,s/n,B,N,,N
1025,Monitor d'ordinador,Monitor,s/n,B,N,,N
1026,Negatoscopi,Negatoscopi,s/n,B,N,,N
1027,Pantalla carril,P_carril,s/n,B,N,,N
1028,Papelògraf,Papelògraf,s/n,B,N,,N
1029,Piano,Piano,s/n,B,N,,N
1030,Projector diapositives,Projec_diapos,s/n,B,N,,N
1031,Punter làser,P_làser,s/n,B,N,,N
1032,Rac de vídeos,Rac_vídeo,s/n,B,N,,N
1033,Reproductor CD/casette,Repro_CD,s/n,B,N,,N
1034,Retroprojector,Retroprojector,s/n,B,N,,N
1035,Tarima,Tarima,s/n,B,N,,N
1036,Telèfon núm.,Telef.,numèrica,E,N,,N
1037,Televisor,TV,s/n,B,N,,N
1038,Traducció simultània (130 CAD),Trad_simultàn.,s/n,B,N,,N
1040,Impressora,Impressora,descripció,L,N,,N
1041,Ordinador,Ordinador,descripció,L,N,,N
1042,Pissarra,Pissarra,descripció,L,N,,N
100,Classificació d'Espais,ClasseEspai,-,L,N,,N
1043,Taules,Taules,descripció,L,N,,N
1044,Vídeo,Vídeo,descripció,L,N,,N
1045,Mobiliari,Mobiliari,descripció,L,N,,N
1046,Capacitat docència,Capacitat doc.,quantitat,E,N,,N
1047,Capacitat exàmens,Capac. d'examen,quantitat,E,N,,N
1048,Mampares (espais amb possibilitat de divisió),Mampares,s/n,B,N,,N
1049,Connexió USB PC,C_USB PC,s/n,B,N,,N
1050,Pantalla fixa,P_fixa,s/n.,B,N,,N
1052,Gravadores de DVD,Grav_DVD,s/n,B,N,,N
1053,Gravadores de CD,Grav_CD,s/n,B,N,,N
1054,Gravadores i reproductors de cassette,Grav_cass,s/n,B,N,,N
1055,Impressora color,Impr_color,s/n,B,N,,N
1056,Impressora làser,Impr_laser,s/n,B,N,,N
1057,Impressora matricial,Impr_matri,s/n,B,N,,N
1058,Instal·lació informàtica,Ins_nform,s/n,B,N,,N
1059,Micròfon sense fils,Micr_ma,s/n,B,N,,N
1060,Micròfon de corbata,Micro_corb,s/n,B,N,,N
1061,Pissarra interactiva,Pissa_elec,s/n,B,N,,N
1062,Videoconferència,Vidi_conf,s/n,B,N,,N
1063,Connexió xarxa sense fil,C_xarxa s/,s/n,B,N,,N
1064,Gravació i transmissió per internet,Grav_inter,s/n,B,N,,N
1065,Taules per a minusvàlids,Tau_minusv,numèrica,E,N,,N
1066,Roseta xarxa núm.,Roseta,numèrica,C,N,,N
1068,Canó projecció portàtil,Canó_port,s/n,B,N,,N
1069,Micròfons de taula,Micro_taul,s/n,B,N,,N
1070,Número de connexions a la xarxa,Núm_conex,quantitat,E,N,,S
1071,Connexió a la xarxa (nombre),C-Xarxa-Q,quantitat,E,N,,N
1072,Pissarra pentagrama,Pissa_pent,s/n,B,N,,N
1073,Ordinadors (nombre),Ordin.nomb,quantitat,E,N,,N
1076,Mampara,Mampara,s/n,B,N,,S
1077,Capacitat,Capacitat,s/n,E,N,,N
1074,Allargador,Allargador,s/n,B,N,,N
1075,Altaveus portàtils,Altaveus_p,s/n,B,N,,N
1080,Capacitat del grup,CAPA_GRU,-,E,N,,N
