ID_UBICACIO,DS_UBICACIO,ID_TIPUS_DEPENDENCIA,ID_EDIFICI,QL_PORTA,IND_METRES,ID_SN_BAIXA
C0/035.3,Arxiu Gestió Acadèmica Biocièn,16,C,C0/035.3  ,16.0,N
C0/019,Arxiu Gestió Acadèmica Cièncie,1,C,C0/019    ,26.0,N
A/1043,Arxiu Of.Coord.Institucional,1,A,A/1043    ,27.0,N
B7/050B,Ascensor,45,B,B7/050B   ,3.0,N
B9/002,Ascensor,45,B,B9/002    ,4.0,N
K/0005,Ascensor,45,K,K/0005    ,3.0,N
QA/5000,Ascensor Espina 5,45,Q,QA/5000   ,4.0,N
QA/0002,Ascensor cos central,45,Q,QA/0002   ,4.0,N
C5B/072-1,Ascensor de pta. -1 a pta. 0,45,C,C5B/072-1 ,6.0,N
M5/1A2,Ascensors Histologia-Plantes 0,45,M,M5/1A2    ,4.0,N
C2/077-1,Ascensors de pta.-1 a pta.4,45,C,C2/077-1  ,6.0,N
B11/201,Auditori,2,B,B11/201   ,434.0,N
IBB/019,Aula,4,IBB,IBB/019   ,50.0,N
Z1/126,Aula,4,C,Z1/126    ,1.0,S
K/0037,Aula 1,4,K,K/0037    ,100.0,N
S3/-107,Aula 10,4,S,S3/-107   ,122.0,N
B7B/012,Aula 102,4,B,B7B/012   ,93.0,N
B2/017,Aula 11,4,B,B2/017    ,152.0,N
GA/101,Aula 12,4,G,GA/101    ,67.0,N
S3/009,Aula 12,4,S,S3/009    ,79.0,N
V1/209,Aula 12,4,V,V1/209    ,113.0,N
B1/0034,Aula 13,4,B,B1/0034   ,124.0,N
J/122,Aula 13,4,J,J/122     ,120.0,N
S3/005,Aula 13,4,S,S3/005    ,122.0,N
M1/111,Aula 14,4,M,M1/111    ,32.0,N
J/125,Aula 15,4,J,J/125     ,60.0,N
GA/111,Aula 16,4,G,GA/111    ,76.0,N
GA/112,Aula 17 - Foniatria,5,G,GA/112    ,77.0,N
B1/-1028,Aula 2,4,B,B1/-1028  ,86.0,N
B2/-113,Aula 2,4,B,B2/-113   ,99.0,N
M1/005,Aula 2,4,M,M1/005    ,47.0,N
S/-108,Aula 2,4,S,S/-108    ,119.0,N
J/134,Aula 20,4,J,J/134     ,29.0,N
B7/014,Aula 202,4,B,B7/014    ,71.0,N
S2/-120,Aula 21,4,S,S2/-120   ,90.0,N
B7/030,Aula 210,4,B,B7/030    ,51.0,N
B3/0025,Aula 23,4,B,B3/0025   ,132.0,N
GA/203,Aula 24,4,G,GA/203    ,67.0,N
S2/022,Aula 24,4,S,S2/022    ,90.0,N
GA/204,Aula 25,4,G,GA/204    ,67.0,N
K/2051,Aula 25,4,K,K/2051    ,27.0,N
GA/219,Aula 29,4,G,GA/219    ,105.0,N
V1/132,Aula 3,4,V,V1/132    ,50.0,N
W/004,Aula 3,4,W,W/004     ,114.0,N
B9B/018,Aula 302,4,B,B9B/018   ,74.0,N
J/148,Aula 31,4,J,J/148     ,30.0,N
B5B/-133,Aula 32 Informàtica,7,B,B5B/-133  ,73.0,N
B1/-129,Aula 4,4,B,B1/-129   ,95.0,N
I1/103,Aula 4,4,I,I1/103    ,88.0,N
B9/018,Aula 403,4,B,B9/018    ,53.0,S
J/230,Aula 46,4,J,J/230     ,30.0,N
GA/412,Aula 47,4,G,GA/412    ,76.0,N
J/010,Aula 5,4,J,J/010     ,120.0,N
Z0/1020,Aula 5,4,SID,Z0/1020   ,34.0,S
B11/022,Aula 506,7,B,B11/022   ,61.0,N
B7B/009,Aula 602,4,B,B7B/009   ,126.0,N
B7B/103,Aula 606,4,B,B7B/103   ,123.0,N
Z0/1014,Aula 7,4,SID,Z0/1014   ,29.0,S
B2/-125A,Aula 8,4,B,B2/-125A  ,78.0,N
J/104,Aula 8,4,J,J/104     ,120.0,N
GS/012,Aula 81,4,G,GS/012    ,100.0,N
B1/0020,Aula 9,4,B,B1/0020   ,128.0,N
B1/027,Aula 9,4,B,B1/027    ,81.0,N
B2/013C,Aula 9B,4,B,B2/013C   ,115.0,N
G6/009,Aula Eduard Toldrà,5,G,G6/009    ,110.0,N
B5C/005,Aula Inf. núm. 2,7,B,B5C/005   ,81.0,S
B5B/018,Aula P-05,4,B,B5B/018   ,129.0,N
B5B/022,Aula P-06,4,B,B5B/022   ,157.0,N
B5B/-110,Aula P-07,4,B,B5B/-110  ,58.0,N
B5B/-112,Aula P-08,4,B,B5B/-112  ,92.0,N
I1/021,Aula Pc4,7,I,I1/021    ,117.0,N
Q1/1003,Aula Q1/1003 (dues portes),4,Q,Q1/1003   ,106.0,N
Q3/0013,Aula Q3/0013,4,Q,Q3/0013   ,50.0,N
Q4/1013,Aula Q4/1013 (dues portes),4,Q,Q4/1013   ,104.0,N
W/010,Aula d'Informàtica,11,W,W/010     ,43.0,S
W/121,Aula d'habilitats clíniques,4,W,W/121     ,48.0,N
J/152,Aula d'informàtica,7,J,J/152     ,57.0,N
I1/108,Aula d'informàtica  Mac 2,7,I,I1/108    ,81.0,N
I1/117,Aula d'informàtica  Pc-2,7,I,I1/117    ,81.0,N
W/031,Aula d'informàtica 2,7,W,W/031     ,43.0,N
G6/105,Aula d'informàtica 3,7,G,G6/105    ,103.0,N
Q1/0007,Aula d'informàtica A (2 portes,7,Q,Q1/0007   ,103.0,N
S/129,Aula d'informàtica B,7,S,S/129     ,39.0,N
S/136,Aula d'informàtica F,7,S,S/136     ,78.0,N
S/138,Aula d'informàtica G,7,S,S/138     ,39.0,N
S/123,Aula d'informàtica I,7,S,S/123     ,35.0,N
I1/030,Aula d'informàtica Pc 6,7,I,I1/030    ,43.0,N
K/0099,Aula d'interpretació 2,5,K,K/0099    ,41.0,N
GB/004,Aula desenvolupament 0-3 Anys,5,G,GB/004    ,41.0,N
C3B/010,Aula docent,4,C,C3B/010   ,141.0,N
M5/007,Aula docent,4,M,M5/007    ,125.0,N
M6/003,Aula docent,4,M,M6/003    ,54.0,N
Q3/0005,Aula docent,4,Q,Q3/0005   ,106.0,S
B9/0016,Aula docent 402,4,B,B9/0016   ,65.0,N
M3/318.2,Aula docent SID,7,M,M3/318.2  ,58.0,N
IBB/011.6,Cambra nº 2,30,IBB,IBB/011.6 ,7.0,N
C/CAMPUS,Campus UAB,14,C,C/CAMPUS  ,1.0,N
X/CAMPUS,Campus UAB,14,A,X/CAMPUS  ,1.0,N
A/0076.1,Cap Arxiu Gral. i Registre,16,A,A/0076.1  ,11.0,N
A/-120.6,Cap EiF,10,A,A/-120.6  ,15.0,N
A/0043,Cap de Gabinet Llengua Catalan,10,A,A/0043    ,12.0,N
A5/311.2,Cap de Personal Docent i Nòmin,10,A,A5/311.2  ,23.0,N
C7/041,Cap de Secretaria,16,C,C7/041    ,18.0,N
A/1072.2,Cap de l'OEGI,10,A,A/1072.2  ,20.0,N
A/1102,Cap de l'Of. Pr. Econ. i Compr,10,A,A/1102    ,20.0,N
X/CVC,Centre Visió per Computador,11,X,X/CVC     ,1.0,N
